                           mean         std        2.5q        25q         50q          75q      97.5q       mc err
z_subj.6               0.495989   0.0183645    0.458189   0.484035    0.496078     0.508246   0.530911  0.000364923
z_subj.7               0.487488   0.0168687    0.453498   0.476321    0.488088      0.49908   0.519055  0.000363675
z_subj.8               0.494659   0.0162025    0.462697   0.483903    0.494802     0.505518   0.526721  0.000317434
z_subj.9               0.518029   0.0169676    0.485398   0.506531    0.517761     0.529408    0.55196  0.000344103
z_subj.10              0.448932   0.0198335    0.408746   0.435777     0.44927     0.462369   0.486866  0.000636399
z_subj.11              0.520884   0.0182152    0.486804   0.508403    0.520407     0.532819   0.557317  0.000406272
z_subj.12              0.532578   0.0165865    0.501035   0.521287     0.53247     0.544049   0.565849  0.000362281
z_subj.13               0.47373   0.0183438    0.435479   0.461638    0.474478     0.486457   0.508345  0.000465486
z_subj.14              0.522941   0.0183016     0.48704    0.51023    0.522877     0.535729    0.55875  0.000351122
z_subj.15              0.495507   0.0169004    0.462004   0.484279    0.495528     0.506889   0.528375  0.000362154
z_subj.16              0.497696   0.0187732    0.460072   0.485454    0.497772     0.510496   0.533525  0.000387805
z_subj.17              0.486163   0.0162511    0.454053   0.475111    0.486324     0.497244      0.517  0.000333779
z_subj.18              0.515021   0.0160113    0.484084   0.504235    0.514905     0.525584   0.546268  0.000308544
z_subj.19              0.486719   0.0180023    0.450789   0.474835    0.486757     0.499055   0.520931  0.000424588
z_subj.20              0.512967   0.0160216    0.481179   0.502337    0.513044     0.523576   0.543552  0.000327407
z_subj.21              0.517314   0.0161372    0.486056    0.50633    0.516946      0.52827   0.549274  0.000357141
z_subj.22               0.49804   0.0164217    0.464328   0.487011    0.498106     0.509104   0.530305  0.000328488
z_subj.23              0.528428   0.0167646    0.496228   0.516888    0.528338      0.53984   0.561586  0.000333012
v_Intercept           0.0507704   0.0247422  0.00132902  0.0346317   0.0504195    0.0673021  0.0998212  0.000431791
v_Intercept_std        0.107428   0.0214337   0.0723485   0.092513    0.105465     0.119646   0.157155  0.000519152
v_Intercept_subj.1   -0.0124945    0.041782  -0.0987177 -0.0384505  -0.0112778    0.0150579  0.0662779  0.000998408
v_Intercept_subj.2    0.0149887   0.0375621   -0.057716 -0.0100322   0.0154432    0.0398281  0.0891155  0.000687446
v_Intercept_subj.3  -0.00168627   0.0591926   -0.117751 -0.0417809 -0.00201465    0.0383075   0.115844   0.00134159
v_Intercept_subj.4     0.155504   0.0524534   0.0577418   0.118876    0.155336     0.190196   0.261462  0.000907179
v_Intercept_subj.5    0.0547479   0.0441911   -0.031135  0.0244108   0.0545431    0.0849404    0.14053  0.000826941
v_Intercept_subj.6   -0.0240827   0.0373812  -0.0979691 -0.0486533  -0.0238728  0.000461981  0.0511439  0.000714303
v_Intercept_subj.7    0.0598748   0.0404358  -0.0187136  0.0323026   0.0591815    0.0865555   0.142312  0.000822273
v_Intercept_subj.8    -0.104171   0.0476183   -0.199554  -0.136053     -0.1034   -0.0717349  -0.011995  0.000908684
v_Intercept_subj.9  -0.00349063   0.0482006   -0.101157 -0.0349205 -0.00160356     0.028563  0.0895822  0.000883156
v_Intercept_subj.10    -0.06465    0.044645   -0.150722 -0.0951744  -0.0643925   -0.0337467  0.0224257   0.00110891
v_Intercept_subj.11  -0.0789403   0.0578739    -0.19541  -0.117588  -0.0781132   -0.0409963  0.0328881   0.00131593
v_Intercept_subj.12   0.0511143   0.0518654  -0.0507846  0.0160204   0.0510172     0.087014   0.150845   0.00103976
v_Intercept_subj.13    0.226345   0.0561005    0.118585    0.18831    0.226097     0.263729   0.338047   0.00119875
v_Intercept_subj.14   0.0816635   0.0407394  0.00100484  0.0548305   0.0813672     0.109599   0.161179  0.000736589
v_Intercept_subj.15   0.0871639   0.0402136   0.0113166  0.0599236    0.086652     0.113621   0.169733  0.000764503
v_Intercept_subj.16    0.156421   0.0473668   0.0645095   0.123996    0.157149     0.187155   0.249768  0.000957491
v_Intercept_subj.17   0.0549436   0.0383172  -0.0191021  0.0293083   0.0545513    0.0803357   0.131596  0.000716829
v_Intercept_subj.18   0.0580305   0.0472058   -0.032964   0.026541   0.0578726    0.0895163   0.153365  0.000821159
v_Intercept_subj.19  -0.0924033   0.0391346   -0.168998  -0.119401   -0.092227   -0.0652321 -0.0159207  0.000780567
v_Intercept_subj.20    0.151011   0.0462521    0.060831   0.119471    0.151386     0.182212   0.242841  0.000907504
v_Intercept_subj.21    0.197436   0.0487312    0.103033   0.163786    0.197498     0.230782    0.29412   0.00107561
v_Intercept_subj.22   0.0726519   0.0387761 -0.00134504  0.0460719   0.0726745    0.0987629   0.148807  0.000784642
v_Intercept_subj.23    0.120213   0.0459031   0.0314701  0.0892544    0.119223     0.151852   0.209973  0.000802899
v_summedVal            0.503233  0.00886254    0.485828   0.497377    0.503222     0.509208   0.520448  0.000130725
a_Intercept              3.2577    0.138609     2.98592    3.16776     3.25665      3.34699     3.5336   0.00195413
a_Intercept_std        0.653303    0.110515    0.476757   0.573559    0.640114     0.715877     0.9097   0.00197319
a_Intercept_subj.1      3.81802    0.114505     3.59883    3.73895     3.81294      3.89721    4.04788   0.00211413
a_Intercept_subj.2      4.08515    0.134028     3.83139    3.99427     4.07995      4.17565    4.35504   0.00274621
a_Intercept_subj.3      2.21067   0.0674054     2.08178    2.16453     2.20956      2.25498    2.34699   0.00151142
a_Intercept_subj.4      2.55938   0.0791026     2.40993    2.50521     2.55646       2.6112    2.72084   0.00167179
a_Intercept_subj.5      3.11594   0.0957094     2.93524    3.05191     3.11192      3.17933    3.31925    0.0021112
a_Intercept_subj.6      4.33182      0.1314     4.07583    4.24302     4.33013      4.41952    4.58559   0.00245659
a_Intercept_subj.7      3.59137    0.105487     3.38694    3.51914      3.5895      3.66119    3.80113   0.00233902
a_Intercept_subj.8      2.92789   0.0929981     2.74936    2.86347     2.92586      2.99022    3.11819    0.0021686
a_Intercept_subj.9      2.92537    0.089081     2.75613    2.86212     2.92458      2.98528    3.10084   0.00159136
a_Intercept_subj.10     3.33238    0.106618     3.13463    3.25847     3.32832      3.40203    3.55172   0.00265728
a_Intercept_subj.11     2.65556   0.0817648     2.49651    2.59997     2.65368      2.71202    2.81866   0.00165754
a_Intercept_subj.12     2.49745   0.0749816     2.35278    2.44635     2.49726       2.5475    2.64685   0.00173133
a_Intercept_subj.13     2.62393   0.0767226     2.47525    2.57192     2.62195      2.67475    2.77915   0.00139171
a_Intercept_subj.14     4.07689      0.1454     3.80464     3.9761      4.0728      4.17232    4.37038   0.00333349
a_Intercept_subj.15     3.63843     0.12024     3.40919    3.55776     3.63496      3.71363    3.88641   0.00266443
a_Intercept_subj.16     3.39113    0.101688      3.1979    3.31999     3.38984      3.46049      3.588   0.00192043
a_Intercept_subj.17     3.61335    0.119555     3.39343    3.53109     3.60811      3.69276    3.86102     0.002899
a_Intercept_subj.18     2.80592   0.0856115     2.64479    2.74683     2.80304      2.86208    2.97886   0.00207752
a_Intercept_subj.19     4.26414    0.157738     3.96697    4.15222     4.25863      4.36894    4.59276    0.0035095
a_Intercept_subj.20     2.91898   0.0924124     2.74292    2.85609     2.91686      2.97851    3.10745   0.00205441
a_Intercept_subj.21     2.78846   0.0900763     2.61784     2.7252     2.78752      2.84822     2.9696    0.0022826
a_Intercept_subj.22     3.61157     0.10428     3.41438     3.5405     3.60871      3.68311    3.81634   0.00210739
a_Intercept_subj.23     3.07017   0.0986361     2.87856     3.0027     3.06997      3.13483    3.26844   0.00212714
a_C(multNum)[T.1]     0.0379224   0.0354886  -0.0321132  0.0134862   0.0389287    0.0612599   0.106441   0.00114954
a_C(multNum)[T.2]      0.310848   0.0521157    0.209484   0.276151     0.30998     0.346163   0.414011   0.00127031
DIC: 26333.732667
deviance: 26250.934992
pD: 82.797675
