                            mean          std        2.5q          25q          50q         75q       97.5q       mc err
v_house_mult_1          0.746149    0.0209831    0.706237     0.732121     0.746456    0.760436    0.787277  0.000544399
v_face_mult_2            1.04554     0.038921    0.970248      1.01876      1.04514     1.07216     1.12167  0.000878594
v_house_mult_2          0.832053    0.0400369    0.754189      0.80548     0.831412    0.859658    0.911105  0.000931154
v_face_mult_3            1.14779    0.0406305     1.06846      1.12075      1.14744      1.1754     1.22759  0.000845472
v_house_mult_3           1.02518    0.0394276    0.948273     0.998601      1.02535     1.05152     1.10262  0.000911378
v_face_mult_10           1.32002    0.0382844     1.24418      1.29397      1.32004     1.34588     1.39451  0.000894399
v_house_mult_10          1.18543    0.0365349     1.11075      1.16158       1.1847     1.20979     1.25926  0.000715576
a_Intercept              3.43694     0.108731     3.22933      3.36364      3.43696     3.50702     3.66393    0.0029739
a_Intercept_std         0.589682    0.0837375    0.451049     0.528175     0.579531    0.643696    0.776231   0.00199071
a_Intercept_subj.1       3.01937    0.0948256     2.83864      2.95681      3.01517     3.08129     3.20543   0.00276141
a_Intercept_subj.2          3.01    0.0955297     2.82464      2.94353      3.00831     3.07404     3.19783   0.00285619
a_Intercept_subj.3       4.24873     0.146959     3.97983      4.14434      4.24572     4.34998     4.55898   0.00437352
a_Intercept_subj.4         4.327     0.149714     4.04643      4.22288      4.32399     4.42266      4.6408   0.00480603
a_Intercept_subj.5       3.20566    0.0986284     3.01607      3.13967      3.20324     3.27173     3.40192   0.00292703
a_Intercept_subj.6       3.49577     0.110681     3.30091      3.41696      3.48987     3.56744     3.73043   0.00367347
a_Intercept_subj.7       2.77154    0.0960188     2.59078      2.70493       2.7719     2.83049     2.97504   0.00314066
a_Intercept_subj.8       3.09964    0.0977757     2.92176      3.03449      3.09394      3.1613     3.30845   0.00297399
a_Intercept_subj.9       4.26513     0.139768     4.00012      4.16723      4.26165      4.3604      4.5443   0.00449233
a_Intercept_subj.10      3.73618     0.127121     3.49888       3.6462      3.73581     3.82302     3.99341   0.00399317
a_Intercept_subj.11      2.94013    0.0899584      2.7706      2.87732      2.94037     2.99946     3.12356   0.00260554
a_Intercept_subj.12      2.67661    0.0813144      2.5243      2.62134      2.67525     2.73069     2.84468   0.00244378
a_Intercept_subj.13      2.90597    0.0912197     2.73123      2.84407      2.90506     2.96691     3.09693   0.00299034
a_Intercept_subj.14      3.13729     0.103162     2.93801      3.06611      3.13654     3.20561     3.34749    0.0034561
a_Intercept_subj.15      3.05711    0.0959365     2.87966      2.98934      3.05454     3.12224     3.24872   0.00278653
a_Intercept_subj.16      3.63859     0.116054     3.42211      3.55908      3.63567     3.71388     3.88057   0.00363579
a_Intercept_subj.17      1.98278    0.0587704     1.86478      1.94415      1.98355     2.02254     2.10221   0.00172107
a_Intercept_subj.18      4.06021     0.121159     3.83378       3.9789      4.05683     4.13456     4.31376   0.00337825
a_Intercept_subj.19      4.19235       0.1383     3.93004      4.09584      4.18949      4.2865      4.4687   0.00458797
a_Intercept_subj.20       3.8225     0.124452     3.58325      3.73568      3.82591     3.90734     4.05944   0.00411608
a_Intercept_subj.21      3.73531     0.127992     3.49239      3.64571      3.73172     3.81808     4.00446   0.00364343
a_Intercept_subj.22      3.18326     0.101622      2.9932      3.11147        3.178     3.25269     3.39471   0.00324318
a_Intercept_subj.23      3.94246     0.127661     3.69347      3.85833      3.94102     4.02322     4.20264   0.00387533
a_Intercept_subj.24      3.43987      0.10667     3.24067      3.36728      3.43866     3.51139     3.64764   0.00349571
a_Intercept_subj.25      4.05879     0.134391     3.80437      3.96906      4.05471     4.15075     4.32976   0.00456358
a_Intercept_subj.26      3.29807    0.0989066     3.11472      3.23082      3.29551     3.36135     3.50316   0.00270048
a_Intercept_subj.27      2.92892    0.0873522     2.76165      2.86879      2.92983     2.98666     3.10374   0.00247686
a_Intercept_subj.28      3.38939     0.106222     3.18498      3.31576      3.38958     3.46043     3.60111    0.0032834
a_Intercept_subj.29       3.6454     0.130701     3.39451      3.55492       3.6427     3.73313     3.90906   0.00439435
a_Intercept_subj.30      3.24577     0.104321     3.04891      3.17642      3.24235     3.31455     3.45828   0.00338039
a_Intercept_subj.31      4.01032     0.136424     3.76211      3.91321      4.00942      4.1026      4.2853   0.00454132
a_C(mult_num)[T.1]    0.00842954     0.044292  -0.0769919   -0.0212835   0.00759448   0.0372821   0.0981011   0.00167276
a_C(mult_num)[T.2]     0.0600081     0.037674  -0.0173768    0.0354164    0.0598461   0.0855714    0.131238   0.00164883
t_Intercept             0.524882    0.0678805    0.355416     0.491783      0.53237     0.56899    0.632391   0.00185828
t_Intercept_std         0.281818    0.0569131    0.201204      0.24313     0.269753    0.307547    0.428359   0.00177443
t_Intercept_subj.1      0.727489    0.0246756    0.673666     0.711865      0.72957    0.745599    0.769385  0.000681497
t_Intercept_subj.2      0.739812    0.0271706    0.679547     0.723439     0.741927    0.758512    0.789071  0.000751759
t_Intercept_subj.3      0.196647    0.0475033   0.0974069     0.165486     0.198946    0.231452    0.281467   0.00157067
t_Intercept_subj.4      0.960423    0.0568011    0.841976     0.924292     0.964573     1.00141     1.05903   0.00181135
t_Intercept_subj.5      0.374636    0.0286028     0.31295     0.356224     0.377269    0.395058     0.42403  0.000826807
t_Intercept_subj.6      0.396894    0.0376932    0.316655     0.372092     0.400183    0.423197    0.463932   0.00130723
t_Intercept_subj.7      0.509683    0.0265127     0.45165      0.49297     0.510786    0.528301    0.557775  0.000739583
t_Intercept_subj.8      0.652322    0.0302263    0.588655     0.633246     0.654389    0.673708    0.705357  0.000866877
t_Intercept_subj.9      0.299515    0.0504935    0.188632      0.26729     0.303356    0.335224    0.388258   0.00154602
t_Intercept_subj.10      0.71582    0.0468552    0.616049     0.685463     0.719788    0.748516    0.796493    0.0014128
t_Intercept_subj.11     0.566843    0.0224598    0.518588     0.552461      0.56886    0.583268    0.605212  0.000576769
t_Intercept_subj.12      0.57463    0.0206563    0.530729     0.560973     0.576447    0.589684    0.610142  0.000561334
t_Intercept_subj.13     0.518324    0.0221787     0.47051     0.504897     0.520125    0.534347    0.555442  0.000654171
t_Intercept_subj.14     0.596582    0.0346123    0.526316     0.574028     0.598196    0.620584    0.657735   0.00110736
t_Intercept_subj.15      1.02059    0.0267127     0.96298      1.00311      1.02297     1.03957     1.06574  0.000804816
t_Intercept_subj.16     0.333544    0.0364448    0.257191     0.310639     0.334191    0.358506    0.402484   0.00113284
t_Intercept_subj.17   0.00231339   0.00127126   0.0010329    0.0013748   0.00192045  0.00284531  0.00579971  3.85877e-05
t_Intercept_subj.18     0.665984    0.0380465    0.583861     0.642906     0.669643    0.692697    0.730748   0.00106346
t_Intercept_subj.19     0.212712    0.0521105    0.105888      0.17825     0.217082    0.248945    0.306924   0.00172529
t_Intercept_subj.20     0.506703    0.0418345    0.417608     0.479412     0.509102    0.535269    0.583543   0.00124357
t_Intercept_subj.21     0.648598    0.0463681    0.554329     0.618034     0.652512    0.682013    0.730622   0.00134731
t_Intercept_subj.22     0.513688    0.0294511     0.45184     0.495138     0.515212    0.534089    0.565675  0.000847644
t_Intercept_subj.23     0.470428    0.0406427    0.385869     0.443826     0.473488     0.50035    0.539625   0.00119354
t_Intercept_subj.24     0.995713    0.0337222    0.922224     0.974648     0.997934     1.01935     1.05399  0.000987591
t_Intercept_subj.25     0.179478    0.0476399   0.0857859     0.149009     0.181494    0.211404    0.267805   0.00152334
t_Intercept_subj.26      0.51928    0.0227538    0.470246     0.505499     0.521155    0.535682    0.557585  0.000597807
t_Intercept_subj.27     0.434933    0.0191513    0.391645     0.422747     0.436854    0.448708    0.467532   0.00052513
t_Intercept_subj.28      0.82733    0.0313761    0.760477     0.806652     0.829361    0.850175    0.882007  0.000854216
t_Intercept_subj.29     0.629357    0.0474077    0.533688     0.597882     0.632125    0.662141    0.714481   0.00158152
t_Intercept_subj.30     0.763123    0.0341325    0.691067     0.740952     0.765499     0.78729    0.825539   0.00114342
t_Intercept_subj.31      0.58244    0.0450883    0.487364       0.5529     0.585562    0.613899    0.665098   0.00148565
t_fix_num               0.122265  0.000759997    0.120677     0.121746     0.122319    0.122825    0.123614  2.22506e-05
DIC: 34279.926601
deviance: 34157.168843
pD: 122.757758
