                           mean          std        2.5q         25q         50q         75q       97.5q       mc err
v_house_mult_3          1.63017    0.0433721     1.54588     1.60008     1.63038     1.65935     1.71465  0.000735651
a_Intercept             3.00696     0.134272     2.73928     2.91893     3.00659     3.09675     3.26622   0.00208242
a_Intercept_std        0.625045     0.103924    0.456671    0.552067    0.612578    0.686783    0.866777    0.0018129
a_Intercept_subj.1      3.38753     0.101783     3.19482     3.31837     3.38583      3.4537     3.59004   0.00194581
a_Intercept_subj.2      3.77216     0.123426     3.53638     3.68761     3.76919     3.85028     4.02996   0.00242777
a_Intercept_subj.3      2.16209    0.0668744     2.03782     2.11505     2.16122      2.2066     2.29755   0.00154653
a_Intercept_subj.4      2.40558    0.0767334     2.25942      2.3523     2.40327     2.45653     2.55849   0.00160818
a_Intercept_subj.5      2.89484    0.0944851     2.71399     2.82999     2.89137     2.95985     3.08411   0.00208474
a_Intercept_subj.6      3.82204     0.107785     3.61423     3.74827     3.81914     3.89658     4.03909   0.00162271
a_Intercept_subj.7       3.3404     0.103285     3.14396     3.26982      3.3385     3.40925     3.54525   0.00221975
a_Intercept_subj.8      2.83053     0.092197     2.65593     2.76724     2.82823     2.89302     3.01859    0.0021067
a_Intercept_subj.9      2.74491    0.0824654     2.59227     2.68956     2.74044     2.79896     2.91078   0.00172752
a_Intercept_subj.10     3.29736     0.103394     3.10506      3.2259     3.29466     3.36824     3.50405   0.00220262
a_Intercept_subj.11     2.32765      0.07194     2.19062     2.27826     2.32749     2.37546     2.47462   0.00128318
a_Intercept_subj.12      2.2292    0.0703628     2.09803     2.18072     2.22722     2.27569     2.37119   0.00175276
a_Intercept_subj.13     2.29301    0.0696024     2.15846     2.24503     2.29235     2.33943     2.42895   0.00116981
a_Intercept_subj.14     4.00603     0.145324     3.73387     3.90794     4.00189      4.1001      4.2995   0.00325885
a_Intercept_subj.15     3.38384     0.108452     3.18225       3.309     3.38098     3.45396     3.60644   0.00243855
a_Intercept_subj.16     2.92865    0.0912191      2.7516     2.86629     2.92706     2.99028     3.11053   0.00177126
a_Intercept_subj.17     3.53476     0.116869     3.31367     3.45278     3.53342      3.6131     3.77053   0.00277489
a_Intercept_subj.18     2.57667     0.082087     2.42218     2.51895     2.57466     2.63208      2.7376     0.001705
a_Intercept_subj.19      4.1143     0.153654     3.82729     4.00651     4.11192     4.21942     4.43142   0.00366091
a_Intercept_subj.20     2.72709    0.0856127     2.56606     2.66707     2.72547      2.7853     2.89845    0.0020254
a_Intercept_subj.21     2.63696    0.0865859     2.47372     2.57643     2.63488     2.69436     2.81173   0.00203014
a_Intercept_subj.22     2.89686    0.0704248     2.75874     2.85012     2.89565     2.94467     3.03464   0.00131889
a_Intercept_subj.23     2.83335    0.0906827     2.65659     2.77251     2.82877     2.89576     3.01272   0.00205954
a_C(multNum)[T.1]      0.111073    0.0341781    0.043249   0.0880777    0.111849    0.133838    0.177938  0.000963615
a_C(multNum)[T.2]      0.322814    0.0483308    0.229466    0.289858    0.321868    0.355662    0.417273   0.00122518
t_Intercept            0.227162     0.139005   0.0118644    0.114303     0.21574    0.323512    0.511452   0.00263468
t_Intercept_std        0.537866     0.110637      0.3512    0.461253    0.528265    0.602759    0.779117   0.00221208
t_Intercept_subj.1     0.378847    0.0302955    0.313541    0.359996    0.381156    0.400189    0.431815  0.000539382
t_Intercept_subj.2     0.609259    0.0436279    0.516865    0.581893    0.612154    0.640319    0.686932  0.000913747
t_Intercept_subj.3     0.346116    0.0163294    0.311205    0.336113    0.347423    0.357485    0.375184  0.000315921
t_Intercept_subj.4     0.413664    0.0216822     0.36667    0.399647    0.415245    0.428885    0.452363  0.000445389
t_Intercept_subj.5     0.816472    0.0282733    0.755909    0.798828    0.817973    0.836379    0.865976  0.000577739
t_Intercept_subj.6   0.00859645   0.00657824  0.00121768  0.00353732  0.00687836   0.0117335   0.0254296   0.00013153
t_Intercept_subj.7     0.842338    0.0372505    0.761448    0.819436    0.845159    0.868234    0.907041  0.000771536
t_Intercept_subj.8     0.794034    0.0294083    0.731204    0.775122    0.795807    0.815171    0.845582  0.000659513
t_Intercept_subj.9     0.597076    0.0208152    0.550059    0.585023    0.599097    0.611503    0.632307  0.000411762
t_Intercept_subj.10    0.222838    0.0338617    0.149777     0.20151    0.225546    0.246155     0.28259  0.000655488
t_Intercept_subj.11    0.125698    0.0116139   0.0999852    0.118277    0.127029    0.133958    0.145386  0.000193295
t_Intercept_subj.12    0.281274    0.0179388    0.242005    0.269902    0.282666    0.294124    0.312143  0.000395797
t_Intercept_subj.13    0.156354    0.0120666    0.129447    0.149108    0.157406     0.16491    0.177117  0.000218376
t_Intercept_subj.14     1.45608    0.0576059     1.33424     1.41963     1.45978     1.49548      1.5647   0.00124614
t_Intercept_subj.15    0.910249    0.0394605    0.825193    0.885106    0.912704     0.93786    0.979662  0.000844854
t_Intercept_subj.16    0.273768    0.0177999     0.23341     0.26316    0.275447    0.286466     0.30338  0.000326287
t_Intercept_subj.17    0.414387     0.049224    0.313334    0.381309    0.416011     0.44777    0.505178   0.00107634
t_Intercept_subj.18    0.281707    0.0257184    0.227472    0.265484    0.283423    0.299724     0.32709  0.000551401
t_Intercept_subj.19      1.0479    0.0613123    0.920805     1.00893     1.05139     1.09155     1.15774   0.00138276
t_Intercept_subj.20    0.245784    0.0261845    0.189246    0.229422    0.247839    0.264327    0.290214  0.000577913
t_Intercept_subj.21    0.511863    0.0273234    0.453176    0.494815    0.513113    0.531067    0.560929  0.000619679
t_Intercept_subj.22    0.001812  0.000809943  0.00102043  0.00123095  0.00157035   0.0021389  0.00386558  2.00929e-05
t_Intercept_subj.23    0.476372    0.0270761    0.418229    0.459217    0.478318    0.495537     0.52427  0.000593488
t_swapAmount           0.185815   0.00160823    0.182515    0.184755    0.185925    0.186944    0.188685  3.58078e-05
DIC: 24939.887896
deviance: 24867.917888
pD: 71.970007
