                            mean         std        2.5q         25q         50q         75q       97.5q       mc err
v_Intercept_subj.3     0.0608485   0.0339191  -0.0056842   0.0385788    0.060896   0.0829538    0.128287  0.000947413
v_Intercept_subj.4     0.0299636   0.0338843   -0.039109   0.0075543   0.0307448   0.0538841   0.0951494   0.00108176
v_Intercept_subj.5    -0.0662634    0.036643   -0.139622  -0.0893887  -0.0667955  -0.0415521  0.00521575    0.0010512
v_Intercept_subj.6    0.00216425    0.036978  -0.0715934   -0.021907  0.00241434   0.0266413   0.0733649   0.00102588
v_Intercept_subj.7      0.231561   0.0459903    0.145227    0.200668    0.232542    0.260737    0.322058   0.00134056
v_Intercept_subj.8   -0.00314589   0.0386879   -0.077274  -0.0302465 -0.00317892   0.0222477   0.0738285   0.00101181
v_Intercept_subj.9     0.0367895   0.0321768  -0.0280477   0.0147849   0.0376626   0.0592861   0.0961719  0.000937552
v_Intercept_subj.10     0.011734   0.0355424  -0.0583541  -0.0121323   0.0120352   0.0352781   0.0817456   0.00093128
v_Intercept_subj.11     0.119196   0.0398769   0.0417265   0.0919659    0.118508    0.146017    0.199228   0.00113843
v_Intercept_subj.12   -0.0427794   0.0402525   -0.121166  -0.0682323  -0.0431334  -0.0157104   0.0386836   0.00109429
v_Intercept_subj.13   -0.0689561    0.041328   -0.149384  -0.0973332  -0.0694545  -0.0400908   0.0127638   0.00110433
v_Intercept_subj.14    -0.205402   0.0375626   -0.280573   -0.230173   -0.204376   -0.180305   -0.132275  0.000986144
v_Intercept_subj.15   -0.0705199   0.0366742   -0.143474   -0.094754  -0.0708522  -0.0457505  0.00359458  0.000996563
v_Intercept_subj.16     0.168775    0.037158   0.0971307    0.143799    0.168863    0.194204    0.241178    0.0011236
v_Intercept_subj.17    0.0849675   0.0501442 -0.00997008   0.0501921   0.0839271    0.118531    0.185744   0.00141256
v_Intercept_subj.18   -0.0188871    0.034058  -0.0868105  -0.0410672  -0.0189187  0.00378175   0.0492785  0.000893508
v_Intercept_subj.19   -0.0557834   0.0314881   -0.115578  -0.0774033  -0.0566704  -0.0351629  0.00898442   0.00076673
v_Intercept_subj.20    0.0395672   0.0349647  -0.0281177   0.0160742   0.0385138   0.0626221    0.108134   0.00101095
v_Intercept_subj.21    0.0301667   0.0340365  -0.0368904  0.00732387   0.0302634   0.0522088   0.0980379  0.000909441
v_Intercept_subj.22     0.148195   0.0379574   0.0742978    0.123229    0.147973    0.173669    0.221709   0.00101768
v_Intercept_subj.23   0.00796932    0.032811  -0.0564176  -0.0141216  0.00727671   0.0299822   0.0726447  0.000933555
v_Intercept_subj.24  0.000879057    0.035421  -0.0699949  -0.0233792  0.00177031   0.0246289   0.0675108  0.000878693
v_Intercept_subj.25  -0.00570562   0.0333547  -0.0707041  -0.0277208 -0.00536332   0.0166299   0.0613222   0.00100393
v_Intercept_subj.26   -0.0395368   0.0385333   -0.116152  -0.0662333  -0.0396772  -0.0124895   0.0337672   0.00118024
v_Intercept_subj.27   -0.0477974   0.0410221   -0.125879  -0.0762722  -0.0497962  -0.0202882   0.0345664   0.00111168
v_Intercept_subj.28   -0.0794642   0.0379611   -0.153872   -0.105841  -0.0788539  -0.0541666 -0.00594551   0.00104527
v_Intercept_subj.29     0.105628   0.0372202   0.0317465   0.0819785    0.105565    0.129736    0.177882  0.000948382
v_Intercept_subj.30    -0.116884   0.0382043   -0.192968   -0.142273   -0.116509  -0.0905708  -0.0427827   0.00104992
v_Intercept_subj.31   -0.0381972   0.0341173   -0.105785  -0.0615893  -0.0384393  -0.0151766    0.030574  0.000997987
v_face_mult_01          0.206452   0.0296084    0.150223    0.186648    0.205924    0.226238    0.266596  0.000512634
v_house_mult_01         0.239116   0.0295708    0.182337    0.219367    0.238563     0.25949     0.29638  0.000639972
v_face_mult_05          0.380044   0.0290577    0.323176    0.359656    0.380037    0.400765    0.437095  0.000611373
v_house_mult_05         0.302663   0.0298325    0.244409    0.282529     0.30255    0.322784     0.36262   0.00056882
v_face_mult_1           0.746532   0.0166012    0.714088    0.735459    0.746486    0.757782    0.779088  0.000415915
v_house_mult_1          0.643794   0.0162558    0.612273    0.632408    0.643967    0.654682    0.675772  0.000395953
v_face_mult_2           0.859417   0.0303088    0.799175    0.838943     0.85924    0.880982    0.917706   0.00074856
v_house_mult_2          0.710345   0.0302964    0.650865    0.690256    0.709809    0.730662    0.769642  0.000686753
v_face_mult_3           0.943496   0.0320989    0.880287    0.922238    0.943867    0.965024     1.00596  0.000685864
v_house_mult_3          0.864043   0.0305344    0.802996    0.843826    0.864505    0.883739    0.924168  0.000700586
v_face_mult_10           1.11383   0.0305896     1.05367     1.09263     1.11462     1.13554     1.17258  0.000602993
v_house_mult_10         0.997412   0.0285358    0.940318    0.978302    0.996987     1.01605      1.0528   0.00058351
a_Intercept              3.68857    0.105667     3.47946     3.61903     3.68946     3.75595     3.89302   0.00227477
a_Intercept_std         0.563549   0.0810829    0.430572    0.505867    0.555537     0.60989    0.752077   0.00199419
a_Intercept_subj.1       3.31817   0.0899559     3.14277     3.25714     3.31862      3.3794     3.49684   0.00233461
a_Intercept_subj.2       3.32746   0.0915385     3.15515     3.26162     3.32498      3.3889     3.51414   0.00294538
a_Intercept_subj.3       4.44183    0.139466     4.18146     4.34459     4.43946     4.53158     4.72572    0.0048715
a_Intercept_subj.4        4.4628    0.134881     4.20821     4.37048     4.45641     4.55048     4.73982   0.00382421
a_Intercept_subj.5       3.64854    0.101033     3.45363     3.57887     3.64472     3.71685     3.85059    0.0032708
a_Intercept_subj.6       3.90495    0.114013     3.67808     3.82639      3.9071     3.98333     4.12588   0.00382729
a_Intercept_subj.7       2.94131   0.0864914     2.77368     2.88004     2.93984     3.00052     3.11655   0.00279994
a_Intercept_subj.8       3.35666   0.0933274     3.18331     3.29149     3.35158     3.41906     3.55304   0.00284583
a_Intercept_subj.9       4.44625     0.13098     4.20262     4.35487     4.44289      4.5294     4.72135   0.00397782
a_Intercept_subj.10      3.79632    0.107839     3.58708     3.72561     3.79434      3.8683      4.0121    0.0040195
a_Intercept_subj.11      3.19326   0.0824483     3.03489     3.13898     3.19176     3.24852     3.36194   0.00250769
a_Intercept_subj.12      3.03613   0.0803432     2.87892     2.98296     3.03296     3.08861      3.2025   0.00248358
a_Intercept_subj.13       3.2367   0.0884455     3.06526     3.17758     3.23616     3.29987     3.40666   0.00291739
a_Intercept_subj.14       3.4078   0.0921997     3.23008      3.3426     3.40817     3.47108     3.59113   0.00300604
a_Intercept_subj.15      3.55398    0.100028      3.3598     3.48724     3.55186     3.62153      3.7496   0.00320845
a_Intercept_subj.16      3.84423    0.107726     3.64085     3.76952     3.84175     3.91548     4.05832   0.00353199
a_Intercept_subj.17      2.30124   0.0532313     2.19938     2.26455     2.30155     2.33681     2.40651   0.00145639
a_Intercept_subj.18      4.18429    0.108894     3.97537     4.10908     4.18298     4.25708     4.40012   0.00329855
a_Intercept_subj.19      4.55162    0.132914     4.27824      4.4605     4.55443     4.63912     4.80289   0.00383561
a_Intercept_subj.20      4.08929    0.120065     3.86051     4.00846     4.08787     4.17049     4.32847   0.00350578
a_Intercept_subj.21      3.98347    0.113994     3.76915     3.90606      3.9824     4.05497     4.21753   0.00379839
a_Intercept_subj.22      3.47512   0.0901025     3.30273     3.41184     3.47435     3.53719     3.65399   0.00271108
a_Intercept_subj.23      4.18369    0.117543     3.95919     4.10147     4.18135     4.26212     4.42321   0.00390165
a_Intercept_subj.24      3.69095    0.101358     3.49448     3.62227     3.68908      3.7571     3.89486   0.00294727
a_Intercept_subj.25       4.3812    0.123147      4.1521     4.29582     4.37523     4.46251     4.63766   0.00365759
a_Intercept_subj.26      3.37905    0.087132     3.21359     3.31941      3.3772     3.43772     3.55706   0.00231897
a_Intercept_subj.27      3.18621   0.0847414     3.02601     3.12731     3.18259     3.24432     3.35474    0.0025556
a_Intercept_subj.28      3.59806   0.0974363      3.4101     3.53397      3.5956     3.66195     3.79697   0.00293238
a_Intercept_subj.29      3.74227    0.112666      3.5226     3.66571     3.73733     3.81399      3.9753    0.0039739
a_Intercept_subj.30      3.50175   0.0898017     3.33062     3.44033     3.50235     3.56218     3.67723   0.00246128
a_Intercept_subj.31      4.24373    0.122657     4.01899      4.1612     4.24193     4.32342     4.50201   0.00353097
a_C(mult_num)[T.1]    -0.0119363   0.0403613  -0.0895478  -0.0392139  -0.0111031   0.0147978    0.065135   0.00129246
a_C(mult_num)[T.2]     0.0425113   0.0323086  -0.0216338   0.0205334    0.043233   0.0650414     0.10501   0.00134698
t_Intercept             0.481709   0.0765344    0.298325    0.445916    0.490977     0.53261    0.598618   0.00279323
t_Intercept_std         0.292469   0.0624872    0.206664    0.249924     0.28102    0.322312    0.443799   0.00244383
t_Intercept_subj.1      0.698444   0.0273497    0.640102    0.680623    0.699654    0.718413    0.745791  0.000736992
t_Intercept_subj.2       0.71193   0.0297039    0.650377    0.693323    0.713317    0.733135    0.764599  0.000877917
t_Intercept_subj.3      0.161781   0.0511632   0.0588061    0.127599    0.163877    0.197431    0.257598   0.00186779
t_Intercept_subj.4      0.952291   0.0538228    0.836075     0.91749    0.955287    0.991544     1.04635   0.00160621
t_Intercept_subj.5      0.309763    0.037967    0.232651    0.284316    0.311783    0.336992    0.376896   0.00112698
t_Intercept_subj.6      0.325624   0.0456224     0.23323    0.295043    0.327711    0.358375    0.406956    0.0015976
t_Intercept_subj.7      0.493585   0.0264161    0.438484    0.476816    0.495222    0.511471    0.542687  0.000789415
t_Intercept_subj.8       0.62825    0.032175    0.560903     0.60816    0.629189    0.649823    0.686377  0.000944894
t_Intercept_subj.9      0.283785   0.0506573    0.177778    0.250673    0.287414    0.319349    0.378072   0.00146768
t_Intercept_subj.10     0.723403   0.0432747    0.629537    0.696548    0.727156    0.753345    0.799309   0.00145688
t_Intercept_subj.11     0.546019   0.0244588    0.491942    0.531148    0.548413    0.563433    0.589194  0.000677823
t_Intercept_subj.12     0.534296   0.0256187    0.480463     0.51737     0.53567    0.551541    0.581403  0.000691528
t_Intercept_subj.13     0.489282   0.0260387    0.433881    0.472873    0.491232    0.507833    0.535067   0.00079475
t_Intercept_subj.14      0.56254   0.0335549     0.49141    0.540706    0.563735    0.585854    0.624128  0.000993229
t_Intercept_subj.15     0.947142   0.0379054    0.866111    0.922119    0.949695    0.974233     1.01583   0.00123923
t_Intercept_subj.16     0.316251    0.037028    0.239034    0.292679     0.31744    0.342097    0.385435   0.00111829
t_Intercept_subj.17   0.00210626   0.0010766  0.00103283  0.00132119  0.00179179   0.0025827  0.00491381  3.62431e-05
t_Intercept_subj.18     0.660569   0.0369521    0.580676    0.636747    0.662701    0.687772    0.724776   0.00100789
t_Intercept_subj.19     0.130515   0.0553813   0.0214312   0.0906198    0.132213    0.169599    0.237343   0.00174358
t_Intercept_subj.20     0.467537   0.0460915     0.37074    0.436921    0.470065     0.50068    0.551747   0.00144615
t_Intercept_subj.21       0.6093    0.046346    0.511156    0.581987    0.610564    0.642079    0.691906   0.00155856
t_Intercept_subj.22     0.486469   0.0308451    0.420813    0.466436    0.488111    0.507922    0.543213  0.000829907
t_Intercept_subj.23     0.444089   0.0428353    0.352508    0.416963    0.444467    0.473122    0.521944   0.00139206
t_Intercept_subj.24     0.971601   0.0373017    0.894246    0.946984    0.974947    0.998646     1.03608   0.00100833
t_Intercept_subj.25     0.126159   0.0486087   0.0296823   0.0921881    0.127388    0.162162    0.220541    0.0015176
t_Intercept_subj.26      0.52332   0.0212528    0.477753    0.509462    0.525402    0.538837    0.559744  0.000613879
t_Intercept_subj.27     0.421786   0.0214502    0.373555    0.408484    0.424216    0.436735    0.458164  0.000610415
t_Intercept_subj.28     0.805452   0.0313515    0.739454    0.785567    0.807239    0.827461    0.861159  0.000906703
t_Intercept_subj.29     0.627338   0.0443679    0.530879     0.59916    0.630094    0.657855    0.707222   0.00149413
t_Intercept_subj.30     0.641866    0.028734    0.581018    0.624072    0.643078    0.662544    0.691912  0.000755879
t_Intercept_subj.31     0.557489   0.0464247    0.457001    0.528504    0.560338     0.59072    0.639544   0.00135761
t_fix_num               0.121587  0.00080213     0.11987    0.121084    0.121605    0.122184     0.12301  2.28275e-05
DIC: 49342.543397
deviance: 49218.952032
pD: 123.591365
