                           mean         std        2.5q         25q         50q         75q       97.5q       mc err
v_Intercept          0.00428826   0.0284002  -0.0517309  -0.0141695  0.00462603   0.0223692   0.0609313  0.000735453
v_Intercept_std        0.136001   0.0244781   0.0950494    0.118822    0.134276    0.150694    0.189089  0.000846934
v_Intercept_subj.1    -0.259488   0.0711054   -0.406072   -0.305799   -0.258692   -0.209192   -0.123834   0.00212339
v_Intercept_subj.2   -0.0960555   0.0694447   -0.228864   -0.140817  -0.0966358  -0.0496596   0.0403221   0.00172487
v_Intercept_subj.3    0.0709941   0.0586608  -0.0379672   0.0294003   0.0704444    0.110787    0.193003   0.00168679
v_Intercept_subj.4    0.0326559   0.0558312   -0.078189 -0.00495265   0.0311681   0.0709626    0.143515   0.00146976
v_Intercept_subj.5    -0.107828    0.066741   -0.240161   -0.152155   -0.107112  -0.0638706   0.0218598   0.00184027
v_Intercept_subj.6    0.0388053   0.0655657  -0.0853401 -0.00433245   0.0387893   0.0827402    0.168698   0.00203125
v_Intercept_subj.7     0.133506   0.0729832   -0.010185   0.0854847     0.13261      0.1818    0.275441   0.00192331
v_Intercept_subj.8    0.0248688   0.0673642   -0.103034  -0.0201155   0.0245131   0.0689786    0.162233    0.0017836
v_Intercept_subj.9    0.0661902   0.0540944  -0.0390375   0.0293905   0.0662677    0.102915    0.177814   0.00145823
v_Intercept_subj.10   0.0322562   0.0545317   -0.081275 -0.00296992   0.0327054   0.0679817    0.138754   0.00149728
v_Intercept_subj.11    0.107136   0.0710039  -0.0267056   0.0579901     0.10495    0.156869    0.249427   0.00203022
v_Intercept_subj.12  0.00907358   0.0716828   -0.130057  -0.0387878  0.00822757    0.056712    0.149086   0.00169065
v_Intercept_subj.13   -0.202874    0.073381   -0.347356   -0.251784   -0.201896   -0.153158  -0.0605435   0.00209626
v_Intercept_subj.14   -0.170487   0.0660818   -0.304341    -0.21368   -0.169444   -0.125063  -0.0425115   0.00186891
v_Intercept_subj.15  -0.0419771   0.0676009   -0.171378  -0.0879057  -0.0434141  0.00556451   0.0871764   0.00170539
v_Intercept_subj.16    0.224831   0.0616848    0.103808    0.181993    0.225674    0.266704    0.345847   0.00171693
v_Intercept_subj.17   0.0830919   0.0968866   -0.104814   0.0175185   0.0829433    0.150927    0.269068   0.00248859
v_Intercept_subj.18   0.0772926   0.0615822  -0.0425619   0.0368775   0.0776587    0.119113    0.194605   0.00176955
v_Intercept_subj.19  -0.0415656   0.0569544   -0.150244  -0.0811852  -0.0401607 -0.00264313   0.0702938   0.00159293
v_Intercept_subj.20   0.0846773   0.0562711   -0.024108   0.0464389    0.083993    0.122707    0.196701   0.00164788
v_Intercept_subj.21 -0.00527149   0.0569088   -0.115161  -0.0436327 -0.00453658   0.0339221    0.105373   0.00147369
v_Intercept_subj.22    0.206704   0.0710034   0.0688273    0.158355    0.205639    0.254196    0.348407   0.00210827
v_Intercept_subj.23   0.0214927   0.0596585  -0.0924211  -0.0195322   0.0221894   0.0618492    0.137648   0.00172733
v_Intercept_subj.24   0.0223035   0.0565372  -0.0870857  -0.0165563   0.0208483   0.0595435     0.13759   0.00130499
v_Intercept_subj.25  -0.0810214   0.0553463   -0.187206   -0.119321  -0.0804384   -0.042388   0.0269166   0.00148934
v_Intercept_subj.26   0.0129683   0.0699117   -0.124759  -0.0353822   0.0118728   0.0611552    0.153879   0.00213821
v_Intercept_subj.27  -0.0977351   0.0674426   -0.228704   -0.141985   -0.099066  -0.0537927   0.0362029   0.00184257
v_Intercept_subj.28    0.031282   0.0614521  -0.0910927  -0.0103874   0.0338309   0.0718254    0.151028   0.00158269
v_Intercept_subj.29    0.177614   0.0594363   0.0630817    0.137587    0.178368    0.217192    0.295814   0.00180491
v_Intercept_subj.30   -0.134278   0.0650559   -0.259284   -0.178565   -0.134907  -0.0904656 -0.00406468   0.00178049
v_Intercept_subj.31  -0.0967246   0.0589639   -0.210458   -0.135952  -0.0969036  -0.0579956   0.0180488   0.00164419
v_face_mult_1          0.864239   0.0229474    0.819911    0.848984    0.864013     0.87952     0.91001  0.000567355
v_house_mult_1         0.769816    0.022956    0.725568    0.754519    0.769461    0.785317    0.816267  0.000483644
v_face_mult_2           1.08427   0.0579806    0.969422     1.04656     1.08383     1.12251     1.19879   0.00133319
v_house_mult_2         0.813468   0.0551289    0.708762    0.776065    0.813019    0.851215    0.924317   0.00127471
v_face_mult_3            1.4224   0.0611093     1.30562     1.38172     1.42108       1.461      1.5432   0.00145013
v_house_mult_3          1.23234   0.0566813      1.1222     1.19379      1.2317     1.27043     1.34315   0.00125789
a_Intercept             3.47253    0.124449     3.22782     3.39382     3.47173     3.55286     3.72679   0.00287427
a_Intercept_std        0.641454   0.0969358    0.488531    0.575815    0.631092    0.696288     0.85652   0.00277516
a_Intercept_subj.1      3.09859    0.141601     2.83733     3.00146      3.0942      3.1929     3.38374   0.00413798
a_Intercept_subj.2      3.05763    0.152879     2.77946     2.95401     3.05503     3.15364     3.38386   0.00475293
a_Intercept_subj.3      4.11807    0.209359     3.73442     3.97919     4.10707     4.24878      4.5567   0.00612361
a_Intercept_subj.4      4.50605    0.238563     4.06124     4.34111     4.49568     4.66176      4.9969   0.00735383
a_Intercept_subj.5      3.14747    0.145276     2.86834     3.05133     3.14084     3.24514     3.43436    0.0045469
a_Intercept_subj.6      3.62917    0.184323     3.29667     3.50046     3.62009      3.7527     4.00097   0.00627043
a_Intercept_subj.7      2.78157    0.137791     2.52536     2.69025     2.77738     2.86764     3.07618   0.00473521
a_Intercept_subj.8      3.08718    0.145792     2.80769     2.98248     3.08953     3.18193     3.37851   0.00431025
a_Intercept_subj.9      4.25921    0.200008     3.88731     4.12432     4.24639     4.40032      4.6659   0.00572986
a_Intercept_subj.10     3.85814    0.178266     3.51669     3.73651     3.85615     3.97164     4.23701   0.00577236
a_Intercept_subj.11     2.94356    0.136104     2.68318     2.85151     2.93832     3.03189     3.22009   0.00391399
a_Intercept_subj.12     2.77251    0.141218     2.51198     2.67625      2.7615     2.86437     3.07236   0.00458423
a_Intercept_subj.13     2.78584    0.139301      2.5185     2.69118     2.78245     2.87983     3.06627   0.00419404
a_Intercept_subj.14     3.18034    0.151579     2.90722     3.07606     3.17756     3.28035     3.49095    0.0048719
a_Intercept_subj.15     3.17617    0.145023     2.91232     3.07722     3.17242     3.26877     3.47818    0.0044635
a_Intercept_subj.16     3.85653    0.182241     3.52102     3.73029     3.84719     3.97131     4.22323    0.0055572
a_Intercept_subj.17     1.76313   0.0717163     1.62667     1.71476     1.76137     1.81059     1.90837   0.00191376
a_Intercept_subj.18     3.99292    0.207806     3.58696     3.84981     3.98496     4.13094      4.4249   0.00677225
a_Intercept_subj.19     4.10374    0.202119     3.72112     3.96512     4.10154     4.23184     4.51731    0.0073163
a_Intercept_subj.20     3.88994    0.184636     3.54097     3.76372     3.88641     4.01106     4.26028   0.00525764
a_Intercept_subj.21     3.79389    0.193227     3.45342     3.65415     3.78483     3.91786      4.2031   0.00727271
a_Intercept_subj.22     3.10918    0.147972     2.83578     3.00761     3.10436     3.20751     3.42097   0.00440221
a_Intercept_subj.23     4.15484    0.196504      3.7815     4.02085     4.15148     4.29094     4.52824   0.00619266
a_Intercept_subj.24     3.75586    0.164898     3.45851     3.64036     3.74954     3.86351     4.10566   0.00498582
a_Intercept_subj.25      4.1023    0.182665     3.75981     3.97326      4.0988     4.23216     4.46596   0.00497944
a_Intercept_subj.26     3.19937    0.138598     2.94468     3.10425     3.19519     3.29432     3.48699   0.00385087
a_Intercept_subj.27     3.07367    0.133346     2.82586     2.98325     3.06615     3.16078     3.34521   0.00393804
a_Intercept_subj.28     3.39438    0.165346     3.09851     3.27779     3.38526     3.50423     3.73516   0.00485302
a_Intercept_subj.29      3.7191    0.189252     3.37952     3.58336     3.71336     3.84213     4.11553   0.00658103
a_Intercept_subj.30     3.23849    0.150072     2.96186     3.13563     3.23393     3.33522     3.54304   0.00526617
a_Intercept_subj.31     4.08495     0.18831     3.72911     3.95308     4.08473     4.21008     4.46472   0.00635065
a_C(mult_num)[T.1]    0.0380949   0.0634974  -0.0862632 -0.00458559   0.0385387   0.0809425    0.164749   0.00177729
a_C(mult_num)[T.2]     0.078499   0.0677776   -0.049965   0.0334137   0.0776804    0.121665    0.214603   0.00196691
t_Intercept            0.467737    0.082581    0.255642    0.433654     0.48079    0.519427    0.584084   0.00371129
t_Intercept_std        0.279308   0.0675387    0.193192     0.23334    0.265412    0.306939    0.461604   0.00300851
t_Intercept_subj.1      0.71306    0.040372    0.619292    0.690504    0.718243    0.741703    0.780075   0.00112709
t_Intercept_subj.2     0.675033   0.0462256    0.571453    0.646989    0.678819    0.707194    0.756604   0.00129162
t_Intercept_subj.3     0.234737   0.0685855   0.0883693    0.189679    0.240223    0.284403    0.354051   0.00206141
t_Intercept_subj.4     0.817583   0.0849967    0.635813    0.764206    0.825802    0.877314    0.962715   0.00284871
t_Intercept_subj.5     0.437011   0.0500015    0.327105    0.407572     0.44059    0.472311    0.525998   0.00164837
t_Intercept_subj.6     0.352694   0.0605941    0.220687    0.314633    0.357649    0.397314    0.456278   0.00222566
t_Intercept_subj.7     0.448856     0.04077     0.35868    0.424652     0.45206     0.47788    0.518808   0.00139452
t_Intercept_subj.8     0.585284   0.0440756    0.488852    0.558214    0.588363    0.616305    0.662182   0.00137836
t_Intercept_subj.9     0.248376   0.0674827     0.10427    0.204059    0.253876    0.297044    0.364576    0.0020889
t_Intercept_subj.10    0.735572   0.0674218    0.591947    0.691782    0.739826     0.78342    0.855646   0.00223538
t_Intercept_subj.11    0.488151   0.0365604    0.403782    0.466162    0.491685    0.513255    0.549109   0.00109939
t_Intercept_subj.12    0.556221   0.0429533    0.455582    0.531882    0.559846    0.585858    0.627826   0.00134524
t_Intercept_subj.13    0.514795   0.0398731    0.432485    0.487544    0.518172    0.544026     0.58568   0.00130494
t_Intercept_subj.14     0.54777   0.0554472    0.433843    0.513618    0.550066    0.585981    0.651496   0.00179383
t_Intercept_subj.15    0.928264   0.0438198    0.830788    0.902036    0.932457    0.959004     1.00195   0.00146345
t_Intercept_subj.16    0.245653   0.0572067    0.118029    0.210635    0.251478    0.286716    0.340213   0.00186413
t_Intercept_subj.17  0.00308101  0.00206905  0.00104128  0.00158946  0.00243258  0.00385913  0.00853182  8.09933e-05
t_Intercept_subj.18    0.774302   0.0713464    0.624625    0.730218    0.778746    0.824416    0.905807    0.0023428
t_Intercept_subj.19    0.233934   0.0762001    0.067843    0.187384    0.239291     0.28791    0.370394   0.00273467
t_Intercept_subj.20    0.426081    0.062937    0.282107    0.390092    0.431434    0.469518    0.533771   0.00198626
t_Intercept_subj.21    0.656978   0.0719301    0.504222    0.611647    0.662033    0.709332    0.783757    0.0026315
t_Intercept_subj.22    0.495193   0.0441416    0.403244    0.466785    0.497955    0.527247     0.57151   0.00141387
t_Intercept_subj.23    0.363313   0.0617419    0.230356     0.32575    0.368883    0.406447    0.470281   0.00205441
t_Intercept_subj.24    0.875298   0.0568609    0.753646    0.839544    0.880866    0.917135    0.973776   0.00182868
t_Intercept_subj.25    0.101399   0.0536531  0.00999001   0.0585203   0.0993697    0.138543     0.21403   0.00151818
t_Intercept_subj.26     0.45498   0.0358428    0.376445    0.433117    0.458303    0.480637    0.514889   0.00107275
t_Intercept_subj.27    0.357959   0.0326328    0.289378    0.336775    0.361077    0.381956    0.413805  0.000936626
t_Intercept_subj.28    0.748665   0.0497541    0.637482    0.717903    0.753554    0.784482    0.832418    0.0015922
t_Intercept_subj.29    0.546444   0.0722345    0.391166    0.501265    0.552002    0.597009    0.670743   0.00256965
t_Intercept_subj.30    0.686941   0.0469035    0.589163    0.658413    0.690448    0.720177    0.768931   0.00175248
t_Intercept_subj.31    0.519859   0.0630635    0.384661    0.479281    0.525223    0.564429    0.625888   0.00211882
t_fix_num              0.138491  0.00137735     0.13549    0.137636    0.138605    0.139482    0.140869  4.36957e-05
DIC: 15378.573992
deviance: 15270.133939
pD: 108.440053
